id,screen_name,followers_count,friends_count,status_count,description,label
80479674,yi_twitts,19,255,29,real estate sales ,1
82487179,marcos_peca,208,866,1408,,1
105830531,curtilorenzo,59,962,39,le corna del capro scappato dal gregge s'infilan nel culo al pirla che legge,1
114488344,gatito2710,7,49,59,,1
123222267,MalekKhalaf,60,521,987,"MA student at JU, Interested in Juventus,Italy,Serie a, Technology world,Video games, Cars,Learning other languages & Socialist thinking http://t.co/SycIvbgq",1
144602443,ruthyohanna,141,1075,286,Con Dios no necesito nada mas el es mi fortaleza,1
212958140,July_pz,16,342,45,,1
278082770,bevega,14,287,72,,1
367651000,giatadde,0,122,1,,1
370098498,pirfectmoses,4,588,24,,1
599789901,212Amhemd,4,228,0,,1
10935572,clarebear4,171,1398,557,,1
16119337,protektor,9,564,383,,1
16753788,emsykes,91,527,30,,1
17640121,litium54,17,361,20,,1
17656600,rdhoosier,583,836,307,Principal/Investor - Hillenbrand Capital Partners. Manager/Producer - Heroes & Villains Ent. Entrepreneur. Lover of charitable dreamers. LiveLoveInvestGive.,1
19230427,ruwo,13,466,96,Live life to the full never regret the past but embrace the future !!,1
19951698,gopher2000,63,901,215,,1
20726266,BibianaOrdensVi,6,599,0,,1
20731719,chrissmithy76,18,1009,441,,1
21196037,lisa_ariff,130,484,78,,1
21365952,mugenvic,9,595,0,,1
21375100,seve_b,271,1199,221,"236 years...Well, we had a good run.",1
21706899,BobD32,5,549,1,,1
21972434,JaMMaNIII,19,1031,0,,1
25836383,jeanneprom,547,1286,647,"Spirited Artist, Passionate Life Empowerment Coach, Intuitive Tarot Reader, Spiritual Educator,/ Counselor, Painter and Jewelry Designer with Bead/Components",1
26778002,buryourself,492,2004,1513,"Artist,Songwriter,Producer buryourself@gmail.com #KamikazeLife www.reverbnation.com/Minotti contact 386.878.9511",1
27662686,gooseboo,28,577,54,,1
28222509,Corbdizzle,3,475,0,,1
28265406,Jrude1,10,559,0,,1
28843786,liamperrell,45,568,7,,1
29940598,wilkison_fs,8,385,62,so me,1
30428221,rebells86,76,847,575,,1
30993019,ghostinthesystm,3,557,0,,1
31776715,doribj,9,556,5,,1
32179000,sweetjebus,58,483,12,,1
33438880,chinkysweb,17,459,7,,1
33869550,Phatpete,16,344,2,,1
34461690,jwmas89,14,582,1,,1
34589722,blondie24765,11,589,1,,1
34762630,bonezefc,66,798,29,am 21 years old am single young am a laid back person if u dont like me you know wot u can do,1
35008954,octaviangv,5,538,349,,1
35959749,ilanalevine,112,618,116,"actress,producer,",1
36299291,Bootypatrol,67,711,1470,"I'm in love with your brother, what's his name?",1
36943266,Jace_t87,12,681,58,"Music Lover! Singing is my thing, love dancing~ Always trying to make my wildest dreams come true~",1
37384589,bsknair1967,57,693,656,in Kuwait with my buetiful family.,1
38021637,dams54,11,604,1,,1
38520305,Irvefjord,8,324,170,,1
39321660,quez312001,12,549,491,,1
39328305,reemakundnani,109,425,90,"Officially, lead Marketing and Corporate Communications at Oberoi Realty and off the record, mother,seeker,movie enthusiast,optimist and a lover of life :)",1
39413961,omarmandozai,9,596,0,,1
40010436,latroncal,9,188,11,"sex  , alcohol  &  Rock-n-Roll",1
42570158,pianista2go,55,1249,17,,1
44091292,nittin89,18,535,30,3 Aleksander Torset Eriksen,1
45107336,radleygovender,164,1153,603,"who am I, lol how the Fuck must I know!  follow me and find the Fuck out hahaha!  #2013 !",1
45954898,rosaesquecidaho,6,534,0,,1
46071929,ejanuar,37,406,16,,1
46553408,MizzTD,3,593,4,,1
46609919,savinthegreat,6,368,0,,1
47497854,stich_428,8,1002,1,,1
47722321,toyota1989,7,435,9,,1
48109055,fraserad75,17,993,0,,1
48336195,escape2syd09,10,537,1,,1
48364513,MARCOSRAMON,30,566,138,"Proximamente Ingenieria, papä de Marcos tio de Sofy y padrino de Manuel y Manuela",1
48638750,jeremibaldocchi,60,368,118,"Bonjour mon nom est Jérémie Baldocchi, Je suis peintre contemporain.My name is Jérémie Baldocchi. I am a French contemporary painter.",1
50055682,wsopme2009,11,562,49,,1
50342870,xLegendary,6,585,1,,1
50449844,Tonheta,27,475,157,,1
50613517,Beca1977,6,563,0,,1
50660716,GOLUBOV,11,565,58,,1
51184465,Anii913,10,434,9,,1
52346698,zdeforest,4,565,4,,1
53671214,AMORESMO,2,334,0,,1
54047372,ffencepost,3,519,1,,1
54244742,OctavioBadia,169,735,141,,1
55197144,omiati,7,942,1,,1
55398486,rebechijr,14,1034,29,,1
55639200,dowminim,3,337,11,,1
55825155,HunaAkamai,12,373,12,,1
55962452,smokinlette,15,394,17,I'll always have juggalo family :),1
56163699,MANDO98,7,576,2,,1
56232036,Skil_1,15,412,119,"I love cars, photography and aquariums! love my people, my family, my dog(daisy) and i love life!!! peace!!",1
56484656,opjockdan,31,593,23,,1
57475867,elijah565656,12,979,42,,1
57697039,nanoadriano_ro,10,534,0,,1
57710065,Zurbs316,6,449,91,,1
57757511,andremotta79,17,469,13,,1
58384179,joaocassi,7,350,8,,1
58524901,scuadron,5,502,1,,1
58954460,clodoado,7,637,0,,1
59568791,3simplysuper,6,305,11,"sophy.september 1993, 16.england.norfolk♥",1
59989426,So_Focused34,129,606,3239,#TeamUA #ROLLTIDE #TeamDatsLife #Teamigottamakeit#Youngkingsent #NFL #FootballIsLife,1
60018650,mizzangelus,11,326,21,,1
60257479,ecsplozed,10,547,48,,1
60346119,alexandrelomi,203,836,203,Sou um nordestino filho da Oxum e da Jurema.,1
60375971,jreaves000,6,449,11,,1
61858165,xlea12345,5,298,10,,1
62204600,GabrielSouza94,21,345,93,"se a vida te der limões, faça malabarismo no semáforo.",1
62969150,cheahkimtarh,6,398,1,ubique,1
63417814,thabelato,119,654,109,,1
63471589,karitheminx,7,538,12,,1
63478699,MarLuth,8,550,1,,1
64110707,gabii0294,28,545,11,,1
64891773,Nano6620,17,453,15,"No olvidar hacerse un tiempo,para disfrutar lo nos gusta.",1
64968114,beautifaulloves,7,644,68,leesihan:D,1
65319316,miakkuching,13,598,1,,1
66618364,AleahGreen,14,558,17,,1
66618584,Truck_freak,3,583,2,,1
66984417,lredlich,114,965,2471,,1
67041122,gaoxuxing,8,577,1,,1
67828913,johnyG81,2,578,1,JohnyG Baby!,1
67856562,verylHernz,8,473,9,,1
67946273,sifluxy,8,528,6,,1
68524294,zoedatslida,6,573,10,,1
69137598,chenmanfu,3,576,2,,1
69406812,esson316,17,636,489,28 year old owner and driver of Faire Travel my own business! and man utd mad!,1
69412978,airbrushtanned,176,1101,245,"Keeping Tampa Tan! Airbrush Tanning Tampa's local NFL, AFL, NHL and College Dance Teams. I am a licensed Nail Technician who loves keeping your hands beautiful!",1
69763238,A_Tipton,1,360,2,,1
70277715,DWhittbball15,6,525,69,,1
70468385,UrbanAngels4u,43,379,98,We're both angels but we don't work for Charlie....We are Spain´s leading online fashion shop!!!,1
72024595,anders200,3,266,34,,1
72110028,dedjven,15,104,1234,,1
72186699,wadehbljroh,131,791,2188,حيآة آلعظمـاء لآ تكتب في سطور,1
72348749,juzynhasc,54,674,136,Prefiro fazer e me arrepender do que imaginar como seria!!,1
72835654,jinglejoseph,101,501,871,,1
72849399,darkhartz,7,555,2,,1
72852291,Awangku67,10,616,0,,1
73473444,famacali,125,449,149,red social http://www.famacali.ning.com,1
73766975,Padawanchi,23,204,45,,1
75683534,cleo_junior,26,444,6,arroz arroz arroz arroz arroz arroz arroz arroz arroz arroz arroz arroz arroz arroz arroz,1
75807122,cleber_1496,8,485,0,,1
75921800,superronaldo2,11,957,2,,1
76361849,Diasbinho,47,547,126,Eu quero mais e ser feliz.,1
77243796,vivi1966,8,387,16,,1
77293750,sketayo,14,443,25,"my name is scott I am a plumber and I live in louisville, ky. I'm also currently engaged.",1
77334182,marcoscri,17,366,14,,1
77350242,Elfen0621,18,483,20,"creo que encontre lo que buscaba, el problema es que no soy lo que busca T_T",1
77413855,akro99,12,580,931,,1
77443610,DPCrawley1,4,550,16,,1
77668831,westdean60,8,975,6,,1
78468090,adie_austria,15,701,2,,1
79015296,lendja_downs,9,652,68,,1
79749293,Passion_72,12,554,14,,1
79860976,dieguinhocn,4,415,8,,1
80194139,carmil9698,7,524,29,,1
82100136,JohnsonXY,22,495,42,,1
82122078,HabboJoBros,12,696,3,,1
82529943,shillitoyousay,68,728,486,I'm trying to complete a uninteresting degree so I can get a job I don't enjoy. :),1
82839114,ee0012,6,590,0,,1
82885728,BrowAlves,14,227,573,,1
83293188,MChuaWY,198,1045,1017,♡ J's Baby! Hello Kitty & Chocolatee,1
83697927,Be_delpeschio,26,588,14,,1
83895093,greenland1230,4,612,28,Native San Diegan. Love for the City.  I believe a balance in life is a major key for happiness.  Love life's challenges.,1
84539426,Rahtnax,3,336,8,,1
87752806,chussin_20,3,593,3,alegre comediante sarcastico y simpatico,1
88517573,honeybee1964,57,450,373,,1
88563527,dina_carvalh0,18,624,85,,1
88697962,RyanMiles7,5,1015,5,,1
88866261,EurwynRoyce,8,427,0,,1
89225998,nicepuka,8,638,78,,1
89799649,Ernesto2277,1,505,0,,1
89963109,yayarisya,23,473,16,,1
91067394,zhbr999,5,595,28,,1
91350980,ErnaneSiqueira,228,405,222,Paranormal aposentado,1
91781300,thamikins_,490,736,4795,,1
92048929,fionahardy,4,301,6,,1
92525390,Hotdimo,4,496,0,,1
92767071,jean_christien,13,392,11,,1
93225500,belamri12312,6,565,3,,1
94244578,nanahara2,6,671,61,,1
94528740,vampiro_666819,25,1470,11,,1
95439836,epo58,7,610,0,,1
95602959,AnggihMilan,68,582,48,Faithful ma  اَللّهُ Gokil Smart Usil Baik Emosian Cinta Milan,1
