id,screen_name,followers_count,friends_count,status_count,description,label
6301,,3071,3269,861,,1
10836,,793,1949,226,,1
10997,,9644,1119,38674,,1
633293,,6029,2174,12718,,1
717883,,7029,7731,873,,1
763068,,130,120,686,,1
783705,,23977,1660,23205,,1
788352,,969,1320,3528,,1
810011,,10537,11239,2749,,1
815299,,3920,3779,1830,,1
817045,,12933,12848,2315,,1
964981,,2469,1811,2897,,1
1091571,,5129,3697,7819,,1
1303381,,3367,2990,2361,,1
1322691,,17053,13117,893,,1
1467621,,7445,4942,20577,,1
1599001,,1683,1591,488,,1
1907361,,4570,4995,3033,,1
2077351,,1370,1076,1977,,1
2157321,,12272,10316,1896,,1
2219081,,1534,2001,3681,,1
2243161,,8134,8266,1309,,1
2269491,,829,745,1064,,1
2695911,,3467,3452,1146,,1
2884771,,1234960,62962,4068,,1
3060631,,8372,9214,6667,,1
3076591,,17113,18059,3551,,1
3136731,,6042,3449,7403,,1
3291901,,5913,6071,2072,,1
3881391,,16779,17100,8002,,1
3908631,,1797,1998,3523,,1
4000261,,85,241,176,,1
4046051,,8951,9811,2195,,1
4319321,,215,565,471,,1
4567451,,620,1715,5667,,1
5169871,,299,1060,264,,1
5414782,,7060,7133,1950,,1
5439702,,15414,13746,4901,,1
5448632,,341,786,71,,1
5609382,,7567,8172,1670,,1
5693062,,17429,18933,8103,,1
5732162,,22359,22318,1151,,1
5751742,,4472,4851,12101,,1
5775622,,13694,13782,743,,1
5884032,,5118,5223,57,,1
5925162,,8000,8054,2983,,1
5925682,,15424,16967,11152,,1
5971902,,11365,10937,423,,1
6002602,,15082,16593,1224,,1
6087712,,13072,14379,5757,,1
6154322,,10097,2597,7730,,1
6228472,,63,423,20,,1
6267832,,174,191,63,,1
6332272,,5119,4302,2870,,1
6333392,,9111,9018,2769,,1
6356472,,1431,1869,2176,,1
6774442,,150,339,53,,1
6859412,,4492,3512,1072,,1
6861662,,3567,3673,1281,,1
6871812,,16454,9072,4164,,1
6901952,,82,949,6,,1
6902602,,127,462,11,,1
6982452,,2005,2206,1806,,1
7024522,,738,1659,44,,1
7082702,,20006,20300,1640,,1
7087112,,23308,14368,55415,,1
7103212,,811,858,589,,1
7159492,,1147,1400,3865,,1
7251502,,8420,7207,2672,,1
7283562,,20677,20390,755,,1
7350652,,97754,99778,7574,,1
7361162,,102,392,81,,1
7400262,,3534,3051,818,,1
7540482,,12244,12313,16421,,1
7545332,,3164,3374,2001,,1
7601182,,491,1053,456,,1
7721172,,2246,2245,4121,,1
7831092,,16330,17866,918,,1
7891352,,11076,11325,3299,,1
7891802,,908,903,91,,1
7934702,,511,876,2122,,1
7946942,,1623,1830,1228,,1
7950312,,4048,4447,1177,,1
7957772,,31295,33928,22928,,1
7967132,,1768,1879,1470,,1
7977182,,7027,7704,1790,,1
8014432,,551,688,484,,1
8014472,,1829,1837,625,,1
8066562,,7210,660,2524,,1
8180582,,744,1944,224,,1
8205942,,791,1065,886,,1
8208482,,206,705,121,,1
8245052,,901,1777,1152,,1
8293982,,1092,1444,1806,,1
8377772,,9794,10293,1906,,1
8431212,,889,2001,91,,1
8440552,,7160,5986,376,,1
8571252,,3312,3644,3330,,1
8614702,,819,1772,95,,1
8729092,,3225,3549,1688,,1
8773632,,17094,16613,1427,,1
8833312,,13605,10691,5243,,1
8865022,,1052,1917,1106,,1
8894582,,705,805,752,,1
9028902,,64,146,6,,1
9045162,,6784,6757,4213,,1
9082652,,23332,21041,2602,,1
9126092,,1006,1749,16381,,1
9222382,,1159,1896,99,,1
9237672,,422,589,966,,1
9256422,,19726,20255,4439,,1
9283632,,9517,10270,11857,,1
9285422,,740,875,1382,,1
9337172,,5420,5835,9,,1
9337212,,2694,2547,3,,1
9376622,,8874,9762,5213,,1
9502542,,7444,8189,26752,,1
9520902,,2794,2852,3111,,1
9545532,,3312,3529,7749,,1
9571962,,945,1999,52,,1
9578362,,504,325,270,,1
9596392,,1732,1805,1080,,1
9633112,,561,1121,284,,1
9666402,,761,897,1204,,1
9751642,,11326,11631,2729,,1
9767082,,1941,1963,941,,1
9783422,,868,854,813,,1
9814222,,2887,2414,709,,1
9819072,,24910,22121,1154,,1
9836582,,69108,68782,64812,,1
9922242,,4283,2072,3490,,1
9934462,,2594,1389,5225,,1
10046572,,3604,3800,17084,,1
10105822,,4938,5352,4015,,1
10193122,,12073,13002,3791,,1
10197782,,6444,5644,15559,,1
10278192,,387,797,50,,1
10336042,,20471,22456,22263,,1
10433782,,3185,1326,26308,,1
10492902,,4589,4748,3890,,1
10500072,,11226,12335,9192,,1
10667662,,58173,53675,2311,,1
10697222,,5081,2292,3265,,1
10736862,,6620,7282,1025,,1
10746692,,407,986,49,,1
10778972,,688,1716,7489,,1
10779802,,19928,19802,16219,,1
10793242,,5992,5453,1406,,1
10845372,,3328,3650,4641,,1
10870512,,3116,3426,7,,1
10987282,,11320,12453,19489,,1
11009092,,1414,1926,3100,,1
11015372,,222,504,1592,,1
11041822,,15673,15899,2122,,1
11073902,,8850,5661,3280,,1
11228722,,1302,1894,87,,1
11294262,,2852,3105,190,,1
11305742,,4674,4529,2320,,1
11341332,,20866,20436,603,,1
11403052,,7,16,4,,1
11403462,,12952,12486,823,,1
11410012,,11957,12294,20704,,1
11410412,,1035,1258,201,,1
11422132,,8493,2394,3082,,1
11488822,,92,167,130,,1
11525652,,258,1985,88,,1
11547732,,629,1765,24,,1
11605832,,4373,4020,2415,,1
11637322,,10615,4283,85,,1
11662532,,17682,17778,8583,,1
11721472,,1188,1973,572,,1
11749762,,618,666,1297,,1
11756702,,12844,14099,32,,1
11778632,,2293,2523,19590,,1
11786162,,715,1614,801,,1
11862162,,509,1328,1249,,1
11879272,,39345,34252,2267,,1
11908322,,708,668,1196,,1
11920772,,2553,693,17525,,1
11929882,,56,195,164,,1
11996952,,5828,712,97,,1
12022042,,2011,1700,5040,,1
12031352,,917,2001,260,,1
12037882,,17558,18786,14260,,1
12085042,,19857,19963,779,,1
12198062,,108,213,102,,1
12317562,,626,240,2657,,1
12357122,,4116,4249,2364,,1
12441712,,30271,30922,2174,,1
12447572,,10413,11449,507,,1
12449542,,8155,1774,79,,1
12465192,,597,597,850,,1
12470242,,6229,6228,449,,1
12511062,,1801,1980,812,,1
12516722,,14242,13181,4042,,1
12524522,,17533,14706,2400,,1
12552662,,1507,1859,206,,1
12570402,,38985,38995,30342,,1
12604592,,8820,8954,197,,1
12611082,,9556,10365,1100,,1
12614402,,419,1095,21,,1
12691382,,15311,16463,570,,1
12720232,,31810,33024,6994,,1
12728672,,21988,24066,706,,1
12738932,,6760,6513,5823,,1
12755642,,1098,914,184,,1
12757982,,471,1102,800,,1
12767492,,3827,4072,684,,1
12811112,,501,1989,2704,,1
12822322,,1716,2001,3041,,1
12891732,,1627,1765,324,,1
12930392,,8145,8273,2316,,1
12992802,,18917,19808,490,,1
12993022,,11521,9185,6002,,1
13027572,,14771,13665,3677,,1
13076522,,5316,5839,5129,,1
13117172,,9161,9661,769,,1
13122832,,8901,9703,744,,1
13203082,,8456,9281,8429,,1
13225732,,8972,8941,1296,,1
13247052,,8693,8452,13824,,1
13267042,,4255,4681,96,,1
13372502,,9740,8947,6779,,1
13372592,,1284,2001,91,,1
13421862,,2186,2088,1146,,1
13430962,,3921,4299,1115,,1
13458112,,8724,7841,1072,,1
13492762,,15138,16652,6688,,1
13545202,,1719,1089,6139,,1
13571462,,17651,18740,1462,,1
13593132,,5756,5042,4516,,1
13596992,,332,518,293,,1
13601052,,1067,1197,2808,,1
13639262,,7710,7295,1981,,1
13642652,,13075,5091,578,,1
13688802,,20048,18801,82,,1
13694202,,268,1212,456,,1
13728412,,3716,3846,3557,,1
13788342,,15858,15181,4966,,1
13796572,,68016,16114,875,,1
13808342,,11503,11689,1272,,1
13831152,,3515,2518,765,,1
13852942,,10398,11160,1466,,1
13893342,,10890,10684,3275,,1
13898062,,645,528,6340,,1
14024532,,622,1420,670,,1
14025402,,4665,5018,2304,,1
14057903,,22389,23344,3237,,1
14065888,,4837,5204,8069,,1
14079004,,2933,3040,3274,,1
14087461,,12123,12240,1785,,1
14088485,,19506,21435,13484,,1
14095473,,967,1922,3130,,1
